Frame,Clock,Events,Sex,Note
5880,0:03:55,Enter,F,
5881,0:03:55,Enter,F,
5882,0:03:55,Enter,F,
5883,0:03:55,Enter,F,
5883,0:03:55,Enter,F,
5884,0:03:55,Enter,F,
5885,0:03:55,Enter,F,
5886,0:03:55,Enter,F,
5887,0:03:55,Enter,F,
5892,0:03:55,Enter,F,
5902,0:03:56,Enter,F,
5907,0:03:56,Enter,F,
8666,0:05:46,NULL,,
12581,0:08:23,Fly,,Bird Fly past
12582,0:08:23,Fly,,
12582,0:08:23,Fly,,
12583,0:08:23,Fly,,
12583,0:08:23,Fly,,
17066,0:11:22,NULL,,
22091,0:14:43,Fly,,Bird Fly past
22091,0:14:43,Fly,,
22092,0:14:43,Fly,,
22093,0:14:43,Fly,,
25907,0:17:16,Around,M,"Male bird fly around, landed on nest"
25908,0:17:16,Around,M,
25909,0:17:16,Around,M,
25909,0:17:16,Around,M,
25910,0:17:16,Around,M,
25911,0:17:16,Around,M,
25912,0:17:16,Around,M,
25913,0:17:16,Around,M,
25914,0:17:16,Around,M,
25915,0:17:16,Around,M,
26182,0:17:27,Around,M,
26183,0:17:27,Around,M,
26184,0:17:27,Around,M,
26185,0:17:27,Around,M,
26186,0:17:27,Around,M,
26187,0:17:27,Around,M,
26333,0:17:33,Exit,F,
26334,0:17:33,Exit,F,
26335,0:17:33,Exit,F,
26336,0:17:33,Exit,F,
26336,0:17:33,Exit,F,
26337,0:17:33,Exit,F,
26338,0:17:33,Exit,F,30 frame difference between exit/enter
26369,0:17:34,Enter,M,
26370,0:17:34,Enter,M,
26371,0:17:34,Enter,M,
26372,0:17:34,Enter,M,
26373,0:17:34,Enter,M,
26374,0:17:34,Enter,M,
26375,0:17:35,Enter,M,
26376,0:17:35,Enter,M,
26377,0:17:35,Enter,M,
26379,0:17:35,Enter,M,
32115,0:21:24,Around,F,Poke head through hole
32116,0:21:24,Around,F,
32117,0:21:24,Around,F,
32118,0:21:24,Around,F,
32119,0:21:24,Around,F,
32120,0:21:24,Around,F,
32121,0:21:24,Around,F,
32122,0:21:24,Around,F,
32122,0:21:24,Around,F,
32123,0:21:24,Around,F,
32158,0:21:26,Around,F,
32159,0:21:26,Around,F,
32162,0:21:26,Around,F,
32163,0:21:26,Around,F,
32163,0:21:26,Around,F,
32164,0:21:26,Around,F,
32164,0:21:26,Around,F,
32164,0:21:26,Around,F,
32165,0:21:26,Around,F,
32166,0:21:26,Around,F,
32167,0:21:26,Around,F,
32167,0:21:26,Around,F,
32168,0:21:26,Around,F,
32258,0:21:30,Exit,M,
32259,0:21:30,Exit,M,
32260,0:21:30,Exit,M,
32261,0:21:30,Exit,M,
32261,0:21:30,Exit,M,
32261,0:21:30,Exit,M,
32262,0:21:30,Exit,M,23 frames between exit enter
32285,0:21:31,Enter,F,
32286,0:21:31,Enter,F,
32287,0:21:31,Enter,F,
32287,0:21:31,Enter,F,
32288,0:21:31,Enter,F,
32289,0:21:31,Enter,F,
32290,0:21:31,Enter,F,
32291,0:21:31,Enter,F,
32292,0:21:31,Enter,F,
32298,0:21:31,Enter,F,
32311,0:21:32,Enter,F,
32314,0:21:32,Enter,F,
32317,0:21:32,Enter,F,
32322,0:21:32,Enter,F,
32342,0:21:33,Enter,F,
32343,0:21:33,Enter,F,
32547,0:21:41,Fly,,
32548,0:21:41,Fly,,
32549,0:21:41,Fly,,
34369,0:22:54,Exit,F,
34370,0:22:54,Exit,F,
34370,0:22:54,Exit,F,
34371,0:22:54,Exit,F,
34372,0:22:54,Exit,F,
34706,0:23:08,Enter,F,
34707,0:23:08,Enter,F,
34708,0:23:08,Enter,F,
34709,0:23:08,Enter,F,
34710,0:23:08,Enter,F,
34711,0:23:08,Enter,F,
34712,0:23:08,Enter,F,
37474,0:24:58,Around,M,
37475,0:24:59,Around,M,
37476,0:24:59,Around,M,
37477,0:24:59,Around,M,
37478,0:24:59,Around,M,
37479,0:24:59,Around,M,
37480,0:24:59,Around,M,
37481,0:24:59,Around,M,
37482,0:24:59,Around,M,
37482,0:24:59,Around,M,
37483,0:24:59,Around,M,
37484,0:24:59,Around,M,
37485,0:24:59,Around,M,"Male flies around, female follows and flies out simultaneously"
37490,0:24:59,Exit,F,"Female flies out, 5 frame diff"
37491,0:24:59,Exit,F,
37492,0:24:59,Exit,F,
37493,0:24:59,Exit,F,
37494,0:24:59,Exit,F,
37585,0:25:03,Enter,M,
37586,0:25:03,Enter,M,
37587,0:25:03,Enter,M,
37588,0:25:03,Enter,M,
37589,0:25:03,Enter,M,
37590,0:25:03,Enter,M,
37591,0:25:03,Enter,M,
37592,0:25:03,Enter,M,
37593,0:25:03,Enter,M,
37594,0:25:03,Enter,M,
37595,0:25:03,Enter,M,
37876,0:25:15,Exit,M,
37877,0:25:15,Exit,M,
37878,0:25:15,Exit,M,
37879,0:25:15,Exit,M,
38831,0:25:53,Enter,F,
38832,0:25:53,Enter,F,
38833,0:25:53,Enter,F,
38834,0:25:53,Enter,F,
38835,0:25:53,Enter,F,
38836,0:25:53,Enter,F,
38837,0:25:53,Enter,F,
38838,0:25:53,Enter,F,
38839,0:25:53,Enter,F,
38875,0:25:55,Enter,F,Male and female inside at the same time
41848,0:27:53,Enter,M,
41849,0:27:53,Enter,M,
41850,0:27:54,Enter,M,
41851,0:27:54,Enter,M,
41852,0:27:54,Enter,M,
41853,0:27:54,Enter,M,
41854,0:27:54,Enter,M,
41855,0:27:54,Enter,M,
41856,0:27:54,Enter,M,
41857,0:27:54,Enter,M,
41858,0:27:54,Enter,M,
41859,0:27:54,Enter,M,
41875,0:27:55,Enter,M,
42463,0:28:18,Exit,M,
42464,0:28:18,Exit,M,
42465,0:28:18,Exit,M,
42466,0:28:18,Exit,M,
42467,0:28:18,Exit,M,
45795,0:30:31,Exit,F,
45796,0:30:31,Exit,F,
45797,0:30:31,Exit,F,
45798,0:30:31,Exit,F,
45799,0:30:31,Exit,F,
45799,0:30:31,Exit,F,
45833,0:30:33,Around,M,
45834,0:30:33,Around,M,
45835,0:30:33,Around,M,
45836,0:30:33,Around,M,
45836,0:30:33,Around,M,
45837,0:30:33,Around,M,
45838,0:30:33,Around,M,
45839,0:30:33,Around,M,
45840,0:30:33,Around,M,
45841,0:30:33,Around,M,
45842,0:30:33,Around,M,
45843,0:30:33,Around,M,
45844,0:30:33,Around,M,
45845,0:30:33,Around,M,
45846,0:30:33,Around,M,
45906,0:30:36,Enter,M,
45907,0:30:36,Enter,M,
45908,0:30:36,Enter,M,
45909,0:30:36,Enter,M,
45910,0:30:36,Enter,M,
45911,0:30:36,Enter,M,
45912,0:30:36,Enter,M,
45913,0:30:36,Enter,M,
45914,0:30:36,Enter,M,
45915,0:30:36,Enter,M,
45932,0:30:37,Enter,M,
46199,0:30:47,Exit,M,
46200,0:30:48,Exit,M,
46201,0:30:48,Exit,M,
46202,0:30:48,Exit,M,
46323,0:30:52,?,,
46324,0:30:52,?,,
46839,0:31:13,?,,
46840,0:31:13,NULL,,
47101,0:31:24,NULL,,
47573,0:31:42,Enter,F,
47574,0:31:42,Enter,F,
47575,0:31:43,Enter,F,
47576,0:31:43,Enter,F,
47576,0:31:43,Enter,F,
47577,0:31:43,Enter,F,
47577,0:31:43,Enter,F,
47577,0:31:43,Enter,F,
47578,0:31:43,Enter,F,
47579,0:31:43,Enter,F,
47580,0:31:43,Enter,F,
47581,0:31:43,Enter,F,
47582,0:31:43,Enter,F,
47583,0:31:43,Enter,F,
47584,0:31:43,Enter,F,
47585,0:31:43,Enter,F,
47586,0:31:43,Enter,F,
47587,0:31:43,Enter,F,
47657,0:31:46,Enter,F,
47658,0:31:46,Enter,F,
47664,0:31:46,Enter,F,
47665,0:31:46,Enter,F,
47666,0:31:46,Enter,F,
47667,0:31:46,Enter,F,
47668,0:31:46,Enter,F,
47669,0:31:46,Enter,F,
47670,0:31:46,Enter,F,
47671,0:31:46,Enter,F,
47677,0:31:47,Enter,F,
48829,0:32:33,Around,M,
48830,0:32:33,Around,M,
48831,0:32:33,Around,M,
48832,0:32:33,Around,M,
48833,0:32:33,Around,M,
48834,0:32:33,Around,M,
48835,0:32:33,Around,M,
48836,0:32:33,Around,M,
48837,0:32:33,Around,M,
48838,0:32:33,Around,M,
48942,0:32:37,Around,M,
48943,0:32:37,Around,M,
48944,0:32:37,Around,M,
48945,0:32:37,Around,M,
48945,0:32:37,Around,M,
48946,0:32:37,Around,M,
48947,0:32:37,Around,M,
48948,0:32:37,Around,M,
48949,0:32:37,Around,M,
48950,0:32:38,Around,M,
48951,0:32:38,Around,M,
48952,0:32:38,Around,M,
48953,0:32:38,Around,M,
48954,0:32:38,Around,M,
48955,0:32:38,Around,M,
49042,0:32:41,Around,M,"Poked head through hole, then left"
49043,0:32:41,Around,M,
49044,0:32:41,Around,M,
49045,0:32:41,Around,M,
49046,0:32:41,Around,M,
49047,0:32:41,Around,M,
49048,0:32:41,Around,M,
49048,0:32:41,Around,M,
49049,0:32:41,Around,M,
49050,0:32:42,Around,M,
49051,0:32:42,Around,M,
49052,0:32:42,Around,M,
49053,0:32:42,Around,M,
49054,0:32:42,Around,M,
49055,0:32:42,Around,M,
49056,0:32:42,Around,M,
49060,0:32:42,Around,M,
49061,0:32:42,Around,M,
49064,0:32:42,Around,M,
49066,0:32:42,Around,M,
49067,0:32:42,Around,M,
49068,0:32:42,Around,M,
49069,0:32:42,Around,M,
49070,0:32:42,Around,M,
49071,0:32:42,Around,M,
49072,0:32:42,Around,M,
49237,0:32:49,Exit,F,"Female leave and male flies at same frame, motion detect male"
49237,0:32:49,Exit,F,
49238,0:32:49,Exit,F,
49239,0:32:49,Exit,F,
49240,0:32:49,Exit,F,
49241,0:32:49,Exit,F,
49242,0:32:49,Exit,F,
49243,0:32:49,Exit,F,
49244,0:32:49,Exit,F,
49245,0:32:49,Exit,F,
49246,0:32:49,Exit,F,
49246,0:32:49,Exit,F,
49246,0:32:49,Exit,F,
49247,0:32:49,Exit,F,
49248,0:32:49,Exit,F,
49301,0:32:52,Enter,M,"Male enters, but hangs around in front of nest for a bit"
49302,0:32:52,Enter,M,
49303,0:32:52,Enter,M,
49304,0:32:52,Enter,M,
49305,0:32:52,Enter,M,
49306,0:32:52,Enter,M,
49307,0:32:52,Enter,M,
49308,0:32:52,Enter,M,
49309,0:32:52,Enter,M,
49310,0:32:52,Enter,M,
49311,0:32:52,Enter,M,
49312,0:32:52,Enter,M,
49313,0:32:52,Enter,M,
49314,0:32:52,Enter,M,
49315,0:32:52,Enter,M,
49316,0:32:52,Enter,M,
49317,0:32:52,Enter,M,
49318,0:32:52,Enter,M,
49319,0:32:52,Enter,M,
49320,0:32:52,Enter,M,
49321,0:32:52,Enter,M,
49342,0:32:53,Enter,M,
49343,0:32:53,Enter,M,
49360,0:32:54,Enter,M,
49361,0:32:54,Enter,M,
49363,0:32:54,Enter,M,
49377,0:32:55,Enter,M,
49382,0:32:55,Enter,M,
49383,0:32:55,Enter,M,
49384,0:32:55,Enter,M,
49385,0:32:55,Enter,M,
49386,0:32:55,Enter,M,
49387,0:32:55,Enter,M,
49388,0:32:55,Enter,M,
49389,0:32:55,Enter,M,
49390,0:32:55,Enter,M,
49438,0:32:57,Enter,M,
49439,0:32:57,Enter,M,
49440,0:32:57,Enter,M,
49441,0:32:57,Enter,M,
49442,0:32:57,Enter,M,
49443,0:32:57,Enter,M,
50127,0:33:25,Exit,M,
50128,0:33:25,Exit,M,
50129,0:33:25,Exit,M,
50130,0:33:25,Exit,M,
50131,0:33:25,Exit,M,
50132,0:33:25,Exit,M,
52331,0:34:53,Enter,F,
52332,0:34:53,Enter,F,
52333,0:34:53,Enter,F,
52334,0:34:53,Enter,F,
52335,0:34:53,Enter,F,
52336,0:34:53,Enter,F,
52337,0:34:53,Enter,F,
52338,0:34:53,Enter,F,
52339,0:34:53,Enter,F,
52339,0:34:53,Enter,F,
52340,0:34:53,Enter,F,
52341,0:34:53,Enter,F,
52343,0:34:53,Enter,F,
52375,0:34:55,Enter,F,
52376,0:34:55,Enter,F,
52377,0:34:55,Enter,F,
52379,0:34:55,Enter,F,
52380,0:34:55,Enter,F,
52381,0:34:55,Enter,F,
52382,0:34:55,Enter,F,
52383,0:34:55,Enter,F,
52384,0:34:55,Enter,F,
52399,0:34:55,Enter,F,
52406,0:34:56,Enter,F,
53502,0:35:40,Exit,F,
53503,0:35:40,Exit,F,
53503,0:35:40,Exit,F,
53504,0:35:40,Exit,F,
53505,0:35:40,Exit,F,
53506,0:35:40,Exit,F,
56714,0:37:48,?,,
65109,0:43:24,Enter,F,
65110,0:43:24,Enter,F,
65111,0:43:24,Enter,F,
65112,0:43:24,Enter,F,
65113,0:43:24,Enter,F,
65114,0:43:24,Enter,F,
65115,0:43:24,Enter,F,
65116,0:43:24,Enter,F,
65117,0:43:24,Enter,F,
65119,0:43:24,Enter,F,
65120,0:43:24,Enter,F,
65152,0:43:26,Enter,F,
72135,0:48:05,Around,,
72136,0:48:05,Around,,
72137,0:48:05,Around,,
72138,0:48:05,Around,,
72139,0:48:05,Around,,
72140,0:48:05,Around,,
72141,0:48:05,Around,,
72234,0:48:09,Exit,F,
72235,0:48:09,Exit,F,
72236,0:48:09,Exit,F,
72237,0:48:09,Exit,F,
72238,0:48:09,Exit,F,
72239,0:48:09,Exit,F,
72337,0:48:13,Fly,,
72338,0:48:13,Fly,,
72338,0:48:13,Fly,,
72339,0:48:13,Fly,,
72392,0:48:15,Enter,M,
72393,0:48:15,Enter,M,
72394,0:48:15,Enter,M,
72395,0:48:15,Enter,M,
72396,0:48:15,Enter,M,
72397,0:48:15,Enter,M,
72398,0:48:15,Enter,M,
72399,0:48:15,Enter,M,
72400,0:48:16,Enter,M,
72401,0:48:16,Enter,M,
72415,0:48:16,Enter,M,
72416,0:48:16,Enter,M,
72417,0:48:16,Enter,M,
72448,0:48:17,Enter,M,
72449,0:48:17,Enter,M,
72450,0:48:18,Enter,M,
72451,0:48:18,Enter,M,
72452,0:48:18,Enter,M,
72454,0:48:18,Enter,M,
72470,0:48:18,Enter,M,
72474,0:48:18,Enter,M,
77336,0:51:33,Around,F,"Female tries to go in, didnt because male is inside"
77337,0:51:33,Around,F,
77338,0:51:33,Around,F,
77339,0:51:33,Around,F,
77340,0:51:33,Around,F,
77341,0:51:33,Around,F,
77342,0:51:33,Around,F,
77343,0:51:33,Around,F,
77344,0:51:33,Around,F,
77345,0:51:33,Around,F,
77376,0:51:35,Around,F,
77377,0:51:35,Around,F,
77378,0:51:35,Around,F,
77379,0:51:35,Around,F,
77380,0:51:35,Around,F,
77381,0:51:35,Around,F,
77382,0:51:35,Around,F,
77383,0:51:35,Around,F,
77384,0:51:35,Around,F,
77425,0:51:37,Exit,M,
77426,0:51:37,Exit,M,
77427,0:51:37,Exit,M,
77428,0:51:37,Exit,M,
77429,0:51:37,Exit,M,
77429,0:51:37,Exit,M,
77430,0:51:37,Exit,M,
77489,0:51:39,Enter,F,
77490,0:51:39,Enter,F,
77491,0:51:39,Enter,F,
77492,0:51:39,Enter,F,
77493,0:51:39,Enter,F,
77494,0:51:39,Enter,F,
77495,0:51:39,Enter,F,
77495,0:51:39,Enter,F,
77496,0:51:39,Enter,F,
77497,0:51:39,Enter,F,
77527,0:51:41,Enter,F,
77528,0:51:41,Enter,F,
90524,1:00:20,Null,,
90525,1:00:21,Fly,,
90525,1:00:21,Fly,,
90525,1:00:21,Fly,,
90526,1:00:21,Fly,,
90789,1:00:31,Around,M,
90790,1:00:31,Around,M,
90791,1:00:31,Around,M,
90792,1:00:31,Around,M,
90793,1:00:31,Around,M,
90794,1:00:31,Around,M,
90795,1:00:31,Around,M,
90796,1:00:31,Around,M,
90797,1:00:31,Around,M,
90798,1:00:31,Around,M,
90799,1:00:31,Around,M,
90800,1:00:32,Around,M,
90801,1:00:32,Around,M,
90886,1:00:35,Exit,F,
90887,1:00:35,Exit,F,
90888,1:00:35,Exit,F,
90888,1:00:35,Exit,F,
90889,1:00:35,Exit,F,
90890,1:00:35,Exit,F,
90891,1:00:35,Exit,F,
90928,1:00:37,Around,M,
90929,1:00:37,Around,M,
90930,1:00:37,Around,M,
90931,1:00:37,Around,M,
90931,1:00:37,Around,M,
90932,1:00:37,Around,M,
90933,1:00:37,Around,M,
90934,1:00:37,Around,M,
90990,1:00:39,Enter,M,
90991,1:00:39,Enter,M,
90992,1:00:39,Enter,M,
90993,1:00:39,Enter,M,
90994,1:00:39,Enter,M,
90995,1:00:39,Enter,M,
90996,1:00:39,Enter,M,
90997,1:00:39,Enter,M,
90998,1:00:39,Enter,M,
90999,1:00:39,Enter,M,
91000,1:00:40,Enter,M,
91021,1:00:40,Enter,M,
93189,1:02:07,Fly,,
93190,1:02:07,Fly,,
93191,1:02:07,Fly,,
93192,1:02:07,Fly,,
93193,1:02:07,Fly,,
93443,1:02:17,Around,F,
93444,1:02:17,Around,F,
93445,1:02:17,Around,F,
93446,1:02:17,Around,F,
93447,1:02:17,Around,F,
93448,1:02:17,Around,F,
93449,1:02:17,Around,F,
93450,1:02:18,Around,F,
93451,1:02:18,Around,F,
93452,1:02:18,Around,F,
93543,1:02:21,Around,F,
93547,1:02:21,Around,F,
93548,1:02:21,Around,F,
93548,1:02:21,Around,F,
93549,1:02:21,Around,F,
93550,1:02:22,Around,F,
93551,1:02:22,Around,F,
93552,1:02:22,Around,F,
93553,1:02:22,Around,F,
93563,1:02:22,Around,F,
93564,1:02:22,Around,F,
93564,1:02:22,Around,F,
93565,1:02:22,Around,F,
93566,1:02:22,Around,F,
93566,1:02:22,Around,F,
93567,1:02:22,Around,F,
93568,1:02:22,Around,F,
93569,1:02:22,Around,F,
93728,1:02:29,Exit,M,
93729,1:02:29,Exit,M,
93730,1:02:29,Exit,M,
93731,1:02:29,Exit,M,
93732,1:02:29,Exit,M,
93752,1:02:30,Enter,F,20 frame diff
93753,1:02:30,Enter,F,
93754,1:02:30,Enter,F,
93755,1:02:30,Enter,F,
93756,1:02:30,Enter,F,
93757,1:02:30,Enter,F,
93758,1:02:30,Enter,F,
93759,1:02:30,Enter,F,
93763,1:02:30,Enter,F,
93768,1:02:30,Enter,F,
93790,1:02:31,Enter,F,
93792,1:02:31,Enter,F,
93793,1:02:31,Enter,F,
93797,1:02:31,Enter,F,
93802,1:02:32,Enter,F,
105194,1:10:07,Fly,,
105195,1:10:07,Fly,,
105196,1:10:07,Fly,,
105196,1:10:07,Fly,,
105197,1:10:07,Fly,,
105198,1:10:07,Fly,,
105198,1:10:07,Fly,,
105199,1:10:07,Fly,,
105200,1:10:08,Fly,,
105267,1:10:10,Exit,F,
105268,1:10:10,Exit,F,
105269,1:10:10,Exit,F,
105270,1:10:10,Exit,F,
105327,1:10:13,Around,M,
105328,1:10:13,Around,M,
105329,1:10:13,Around,M,
105330,1:10:13,Around,M,
105331,1:10:13,Around,M,
105382,1:10:15,Enter,M,
105383,1:10:15,Enter,M,
105384,1:10:15,Enter,M,
105384,1:10:15,Enter,M,
105385,1:10:15,Enter,M,
105385,1:10:15,Enter,M,
105386,1:10:15,Enter,M,
105387,1:10:15,Enter,M,
105388,1:10:15,Enter,M,
105389,1:10:15,Enter,M,
105390,1:10:15,Enter,M,
105391,1:10:15,Enter,M,
105392,1:10:15,Enter,M,
105393,1:10:15,Enter,M,
105411,1:10:16,Enter,M,
109036,1:12:41,Fly,,
109036,1:12:41,Fly,,
109037,1:12:41,Fly,,
109038,1:12:41,Fly,,
109038,1:12:41,Fly,,
109038,1:12:41,Fly,,
109179,1:12:47,Around,F,
109180,1:12:47,Around,F,
109181,1:12:47,Around,F,
109182,1:12:47,Around,F,
109183,1:12:47,Around,F,
109184,1:12:47,Around,F,
109185,1:12:47,Around,F,
109186,1:12:47,Around,F,
109187,1:12:47,Around,F,
109188,1:12:47,Around,F,
109188,1:12:47,Around,F,
109189,1:12:47,Around,F,
109192,1:12:47,Around,F,
109258,1:12:50,Around,F,
109259,1:12:50,Around,F,
109260,1:12:50,Around,F,
109261,1:12:50,Around,F,
109262,1:12:50,Around,F,
109262,1:12:50,Around,F,
109263,1:12:50,Around,F,
109264,1:12:50,Around,F,
109264,1:12:50,Around,F,
109289,1:12:51,Exit,M,
109290,1:12:51,Exit,M,
109291,1:12:51,Exit,M,
109292,1:12:51,Exit,M,
109293,1:12:51,Exit,M,
109320,1:12:52,Enter,F,
109321,1:12:52,Enter,F,
109322,1:12:52,Enter,F,
109323,1:12:52,Enter,F,
109324,1:12:52,Enter,F,
109325,1:12:53,Enter,F,
109326,1:12:53,Enter,F,
109327,1:12:53,Enter,F,
109328,1:12:53,Enter,F,
109347,1:12:53,Others,,A wild starling appears
109348,1:12:53,Others,,
109349,1:12:53,Others,,
109350,1:12:54,Others,,
109350,1:12:54,Others,,
109351,1:12:54,Others,,
109351,1:12:54,Others,,
109352,1:12:54,Others,,
109353,1:12:54,Others,,
109354,1:12:54,Others,,
109355,1:12:54,Others,,
109356,1:12:54,Others,,
109399,1:12:55,Others,,
109400,1:12:56,Others,,
109401,1:12:56,Others,,
109422,1:12:56,Others,,
109423,1:12:56,Others,,
109454,1:12:58,Others,,
109455,1:12:58,Others,,
109456,1:12:58,Others,,
109506,1:13:00,Others,,
109506,1:13:00,Others,,
109506,1:13:00,Others,,
109508,1:13:00,Others,,
109509,1:13:00,Others,,
109511,1:13:00,Others,,
109513,1:13:00,Others,,
115680,1:17:07,Around,M,
115681,1:17:07,Around,M,
115682,1:17:07,Around,M,
115683,1:17:07,Around,M,
115684,1:17:07,Around,M,
115685,1:17:07,Around,M,
115686,1:17:07,Around,M,
115687,1:17:07,Around,M,
115688,1:17:07,Around,M,
115689,1:17:07,Around,M,
115690,1:17:07,Around,M,
115691,1:17:07,Around,M,
115703,1:17:08,Around,M,
115706,1:17:08,Around,M,
115707,1:17:08,Around,M,
115746,1:17:09,Around,M,
115747,1:17:09,Around,M,
115748,1:17:09,Around,M,
115749,1:17:09,Around,M,
115750,1:17:10,Around,M,
115751,1:17:10,Around,M,
115751,1:17:10,Around,M,
115752,1:17:10,Around,M,
115752,1:17:10,Around,M,
115753,1:17:10,Around,M,
115754,1:17:10,Around,M,
115755,1:17:10,Around,M,
115756,1:17:10,Around,M,
115757,1:17:10,Around,M,
115848,1:17:13,Exit,F,
115849,1:17:13,Exit,F,
115850,1:17:14,Exit,F,
115851,1:17:14,Exit,F,
115852,1:17:14,Exit,F,
115888,1:17:15,Enter,M,
115889,1:17:15,Enter,M,
115890,1:17:15,Enter,M,
115891,1:17:15,Enter,M,
115892,1:17:15,Enter,M,
115893,1:17:15,Enter,M,
115894,1:17:15,Enter,M,
115895,1:17:15,Enter,M,
115896,1:17:15,Enter,M,
115897,1:17:15,Enter,M,
115949,1:17:17,Fly,,
115951,1:17:18,Fly,,
116401,1:17:36,Exit,M,
116402,1:17:36,Exit,M,
116403,1:17:36,Exit,M,
116404,1:17:36,Exit,M,
119664,1:19:46,Enter,F,
119665,1:19:46,Enter,F,
119666,1:19:46,Enter,F,
119667,1:19:46,Enter,F,
119668,1:19:46,Enter,F,
119669,1:19:46,Enter,F,
119670,1:19:46,Enter,F,
119671,1:19:46,Enter,F,
119672,1:19:46,Enter,F,
119673,1:19:46,Enter,F,
119674,1:19:46,Enter,F,
119730,1:19:49,Enter,F,
119730,1:19:49,Enter,F,
119731,1:19:49,Enter,F,
119732,1:19:49,Enter,F,
119733,1:19:49,Enter,F,
119735,1:19:49,Enter,F,
119736,1:19:49,Enter,F,
119737,1:19:49,Enter,F,
119738,1:19:49,Enter,F,
119739,1:19:49,Enter,F,
119749,1:19:49,Enter,F,
126198,1:24:07,Fly,,
126199,1:24:07,Fly,,
126200,1:24:08,Fly,,
126200,1:24:08,Fly,,
131008,1:27:20,Exit,F,
131009,1:27:20,Exit,F,
131010,1:27:20,Exit,F,
131011,1:27:20,Exit,F,
131012,1:27:20,Exit,F,
131012,1:27:20,Exit,F,
131013,1:27:20,Exit,F,
132737,1:28:29,Fly,,
132738,1:28:29,Fly,,
132739,1:28:29,Fly,,
132740,1:28:29,Fly,,
132740,1:28:29,Fly,,
132741,1:28:29,Fly,,
132758,1:28:30,Fly,,
132759,1:28:30,Fly,,
132759,1:28:30,Fly,,
132952,1:28:38,Around,F,
132953,1:28:38,Around,F,
132953,1:28:38,Around,F,
132954,1:28:38,Around,F,
132954,1:28:38,Around,F,
132955,1:28:38,Around,F,
132955,1:28:38,Around,F,
132956,1:28:38,Around,F,
132957,1:28:38,Around,F,
132958,1:28:38,Around,F,
132959,1:28:38,Around,F,
132960,1:28:38,Around,F,
132960,1:28:38,Around,F,
132962,1:28:38,Around,F,
132963,1:28:38,Around,F,
132964,1:28:38,Around,F,
133092,1:28:43,Around,F,
133093,1:28:43,Around,F,
133094,1:28:43,Around,F,
133095,1:28:43,Around,F,
133096,1:28:43,Around,F,
133097,1:28:43,Around,F,
133149,1:28:45,Enter,M,
